Draft,Trim,V,PE,DISP,PR
7,-2,13,5071,55462.8,0.81136
7,-2,15,8985,55462.8,0.90932091893533
7,-2,16.5,12170,55462.8,0.925334549878346
7,-2,18,15042,55462.8,0.885292213524807
7,-2,19.5,19287,55462.8,0.899118922194769
7,-2,21,24291,55462.8,0.908754208754209
7,-2,23,29598,55462.8,0.841952551629971
7,-1,13,5005,55462.8,0.8008
7,-1,15,8756,55462.8,0.886145127011436
7,-1,16.5,11840,55462.8,0.900243309002433
7,-1,18,14760,55462.8,0.868695191572009
7,-1,19.5,18824,55462.8,0.877534846860286
7,-1,21,23644,55462.8,0.884549195660307
7,-1,23,29472,55462.8,0.83836832223929
7,0,13,4939,55462.8,0.79024
7,0,15,8526,55462.8,0.862868130755996
7,0,16.5,11510,55462.8,0.875152068126521
7,0,18,14479,55462.8,0.852157024306986
7,0,19.5,18360,55462.8,0.85590415365251
7,0,21,22997,55462.8,0.860344182566405
7,0,23,29346,55462.8,0.834784092848609
7,0.75,13,4890,55462.8,0.7824
7,0.75,15,8355,55462.8,0.845562190061735
7,0.75,16.5,11263,55462.8,0.856371654501216
7,0.75,18,14267,55462.8,0.839679830498499
7,0.75,19.5,18013,55462.8,0.839727751619971
7,0.75,21,22512,55462.8,0.842199775533109
7,0.75,23,29252,55462.8,0.832110143938101
7,1,13,4873,55462.8,0.77968
7,1,15,8297,55462.8,0.839692338832102
7,1,16.5,11180,55462.8,0.850060827250608
7,1,18,14197,55462.8,0.835560002354188
7,1,19.5,17897,55462.8,0.834320078318027
7,1,21,22350,55462.8,0.836139169472503
7,1,23,29220,55462.8,0.831199863457928
7,1.5,13,4840,55462.8,0.7744
7,1.5,15,8183,55462.8,0.828155045035927
7,1.5,16.5,11015,55462.8,0.837515206812652
7,1.5,18,14056,55462.8,0.827261491377788
7,1.5,19.5,17666,55462.8,0.823551349587432
7,1.5,21,22027,55462.8,0.824055368499813
7,1.5,23,29158,55462.8,0.829436195027593
7,2,13,4808,55462.8,0.76928
7,2,15,8068,55462.8,0.816516546908208
7,2,16.5,10850,55462.8,0.824969586374696
7,2,18,13915,55462.8,0.818962980401389
7,2,19.5,17434,55462.8,0.812736002983544
7,2,21,21703,55462.8,0.811934156378601
7,2,23,29095,55462.8,0.827644080332252
7,2.5,13,4775,55462.8,0.764
7,2.5,15,7954,55462.8,0.804979253112033
7,2.5,16.5,10685,55462.8,0.81242396593674
7,2.5,18,13774,55462.8,0.81066446942499
7,2.5,19.5,17202,55462.8,0.801920656379656
7,2.5,21,21380,55462.8,0.799850355405911
7,2.5,23,29032,55462.8,0.825851965636912
7,3.5,13,4709,55462.8,0.75344
7,3.5,15,7725,55462.8,0.781803461188139
7,3.5,16.5,10355,55462.8,0.787332725060827
7,3.5,18,13493,55462.8,0.794126302159967
7,3.5,19.5,16739,55462.8,0.780336581045173
7,3.5,21,20733,55462.8,0.775645342312009
7,3.5,23,28906,55462.8,0.822267736246231
7,4.5,13,4631,55462.8,0.74096
7,4.5,15,7579,55462.8,0.767027628782512
7,4.5,16.5,10058.5,55462.8,0.764788625304136
7,4.5,18,13048,55462.8,0.7679359660997
7,4.5,19.5,16331,55462.8,0.761316488741784
7,4.5,21,20793,55462.8,0.777890011223345
7,4.5,23,28607,55462.8,0.813762303009615
8.5,-2,13,5249,70235.8,0.83984
8.5,-2,15,9276,70235.8,0.938771379415039
8.5,-2,16.5,12885,70235.8,0.979698905109489
8.5,-2,18,16551,70235.8,0.974103937378612
8.5,-2,19.5,20335,70235.8,0.947974453405436
8.5,-2,21,24667,70235.8,0.922820800598578
8.5,-2,23,31449,70235.8,0.894606588154975
8.5,-1,13,5257,70235.8,0.84112
8.5,-1,15,9225,70235.8,0.933609958506224
