start,end,start_time,end_time,start_location,end_location,way
17151,21952,2018/11/11 12:00,2018/11/28 08:00,上海(中國),巴拿馬,E
27453,32756,2018/12/18 23:00,2019/1/6 21:20,巴拿馬,釜山(韓國),W
35827,38973,2019/1/18 15:20,2019/2/5 16:00,上海(中國),巴拿馬,E
43884,49407,2019/2/26 14:20,2019/3/18 06:35,巴拿馬,釜山(韓國),W
52100,55522,2019/3/29 06:05,2019/4/17 02:45,上海(中國),巴拿馬,E
60935,66640,2019/5/6 15:20,2019/5/28 10:25,巴拿馬,釜山(韓國),W
69428,74482,2019/6/8 09:00,2019/6/26 02:10,上海(中國),巴拿馬,E
82045,86977,2019/7/22 13:55,2019/8/8 20:10,巴拿馬,釜山(韓國),W
89865,92709,2019/8/19 06:55,2019/9/5 01:00,上海(中國),巴拿馬,E
98937,103311,2019/9/28 17:45,2019/10/18 04:30,巴拿馬,釜山(韓國),W
170641,173142,2020/7/16 01:40,2020/7/28 15:55,基隆,長堤(美國),E
173726,177666,2020/8/4 01:35,2020/8/17 23:40,奧克蘭(美國),基隆,W
