start,end,start_time,end_time,start_location,end_location
2639,8000,2017/10/1 11:30,2017/10/20 02:45,洋山(中國),巴拿馬運河南部
19076,23409,2017/12/12 00:00,2017/12/28 02:50,高雄,巴拿馬運河南部
33086,38879,2018/2/22 13:40,2018/3/15 02:30,洋山(中國),巴拿馬運河南部
50608,56087,2018/5/10 17:10,2018/5/30 06:20,洋山(中國),巴拿馬運河南部
102923,105890,2019/2/20 10:05,2019/3/3 16:25,釜山(韓國),魯佩特王子港(加拿大)
114704,118249,2019/4/7 12:00,2019/4/22 08:20,寧波(中國),羅伯茨角(加拿大)
125854,129290,2019/5/22 14:50,2019/6/3 20:40,釜山(韓國),羅伯茨角(加拿大)
134076,137052,2019/8/16 06:20,2019/8/26 14:35,釜山(韓國),羅伯茨角(加拿大)
144488,147358,2019/9/29 19:20,2019/10/11 07:40,釜山(韓國),羅伯茨角(加拿大)
156265,159060,2019/11/13 00:15,2019/11/22 22:55,釜山(韓國),羅伯茨角(加拿大)
164715,168124,2020/1/28 12:00,2020/2/9 23:00,鹽田(中國),西雅圖港(美國)
182412,186132,2020/4/7 08:00,2020/4/20 21:00,鹽田(中國),西雅圖港(美國)
201960,204518,2020/6/18 05:00,2020/6/30 23:00,鹽田(中國),西雅圖港(美國)/羅伯茨角(加拿大)
