start,end,start_time,end_time,start_location,end_location
17692,21321,2018/12/10 00:25,2018/12/23 16:15,奧克蘭港（美國）,青島（中國）
28825,32203,2019/1/21 15:35,2019/2/3 23:00,奧克蘭港（美國）,青島（中國）
39834,43820,2019/3/5 14:30,2019/3/20 23:30,奧克蘭港（美國）,青島（中國）
48086,51847,2019/4/21 11:45,2019/5/8 07:15,奧克蘭港（美國）,青島（中國）
61885,65704,2019/6/17 02:05,2019/7/1 21:35,長堤（美國）,釜山（韓國）
73007,77255,2019/7/30 01:55,2019/8/15 04:35,長堤（美國）,釜山（韓國）
82519,87184,2019/9/10 13:40,2019/9/26 18:35,長堤（美國）,釜山（韓國）
94625,98356,2019/10/24 11:00,2019/11/7 20:15,長堤（美國）,釜山（韓國）
106886,110210,2019/12/13 10:10,2019/12/25 13:10,奧克蘭港（美國）,神戶（日本）
118389,121252,2020/1/24 04:00,2020/2/3 22:00,奧克蘭港（美國）,神戶（日本）
130480,133743,2020/3/6 11:00,2020/3/17 22:00,奧克蘭港（美國）,神戶（日本）
141585,144846,2020/4/17 19:00,2020/4/29 03:00,奧克蘭港（美國）,神戶（日本）
