iter	RMSE
0	22662.88287
1	19403.28879
2	17235.50404
3	15319.47038
4	13547.50409
5	12618.35084
6	11521.48282
7	10715.46081
8	10206.81349
9	9733.394268
10	9212.32024
11	8832.063967
12	8478.314933
13	8191.552959
14	7932.802361
15	7746.336525
16	7517.194016
17	7287.88141
18	7109.430085
19	6899.559594
20	6754.622787
21	6606.366398
22	6510.273708
23	6412.582648
24	6296.37444
25	6209.68961
26	6083.315741
27	5890.465608
28	5809.931716
29	5722.164267
30	5656.985661
31	5596.353933
32	5549.355964
33	5504.327255
34	5386.710133
35	5292.00288
36	5218.633851
37	5119.807181
38	5070.721858
39	5013.959664
40	4977.555153
41	4912.35773
42	4855.914884
43	4812.997974
44	4738.135847
45	4696.521892
46	4685.127121
47	4648.029666
48	4533.088422
49	4487.85825
50	4446.577718
51	4417.130119
52	4393.216753
53	4366.73526
54	4346.308806
55	4285.033802
56	4237.353518
57	4230.47094
58	4203.466157
59	4155.414036
60	4132.647336
61	4075.495861
62	4030.696551
63	4014.719092
64	3958.051188
65	3921.122455
66	3894.088284
67	3851.374208
68	3819.271727
69	3800.484318
70	3740.01654
71	3717.359317
72	3687.688736
73	3648.590487
74	3627.809418
75	3592.169419
76	3566.364171
77	3534.450131
78	3518.982769
79	3482.511251
80	3466.968149
81	3448.686971
82	3415.401154
83	3385.751371
84	3364.68179
85	3329.348304
86	3304.152905
87	3281.500647
88	3267.753999
89	3257.508646
90	3247.602068
91	3233.30177
92	3213.135805
93	3197.23976
94	3186.664481
95	3158.596315
96	3130.243379
97	3126.037919
98	3093.030995
99	3068.232456
