iter	Passed	Remaining
0	147	14600
1	149	7323
2	151	4892
3	152	3652
4	153	2921
5	155	2432
6	157	2093
7	159	1830
8	160	1624
9	162	1458
10	163	1326
11	165	1213
12	167	1119
13	168	1037
14	170	963
15	171	900
16	173	847
17	175	798
18	176	753
19	178	713
20	179	677
21	181	643
22	182	612
23	184	583
24	185	557
25	187	533
26	189	511
27	190	489
28	191	469
29	192	450
30	194	432
31	195	415
32	196	399
33	197	383
34	198	369
35	199	355
36	201	342
37	202	330
38	203	318
39	204	307
40	205	296
41	206	285
42	208	275
43	209	266
44	210	257
45	211	248
46	212	239
47	213	231
48	214	223
49	216	216
50	217	208
51	218	201
52	219	194
53	220	187
54	221	181
55	222	175
56	224	169
57	225	163
58	226	157
59	227	151
60	228	146
61	229	140
62	231	135
63	232	130
64	233	125
65	234	120
66	235	115
67	236	111
68	237	106
69	238	102
70	239	98
71	240	93
72	241	89
73	243	85
74	244	81
75	245	77
76	246	73
77	247	69
78	248	66
79	249	62
80	250	58
81	252	55
82	253	51
83	254	48
84	255	45
85	256	41
86	257	38
87	258	35
88	260	32
89	261	29
90	262	25
91	263	22
92	264	19
93	265	16
94	266	14
95	267	11
96	268	8
97	270	5
98	271	2
99	272	0
