id,gender,byear,educ,jobcat,salary,salbegin,jobtime,prevexp,overtime
1,1,1952,15,3,57000,27000,98,144,0
2,1,1958,16,1,40200,18750,98,36,0
3,0,1929,12,1,21450,12000,98,381,0
4,0,1947,8,1,21900,13200,98,190,0
5,1,1955,15,1,45000,21000,98,138,0
6,1,1958,15,1,32100,13500,98,67,0
7,1,1956,15,1,36000,18750,98,114,0
8,0,1966,12,1,21900,9750,98,0,0
9,0,1946,15,1,27900,12750,98,115,0
10,0,1946,12,1,24000,13500,98,244,0
11,0,1950,16,1,30300,16500,98,143,0
12,1,1966,8,1,28350,12000,98,26,1
13,1,1960,15,1,27750,14250,98,34,1
14,0,1949,15,1,35100,16800,98,137,1
15,1,1962,12,1,27300,13500,97,66,0
16,1,1964,12,1,40800,15000,97,24,0
17,1,1962,15,1,46000,14250,97,48,0
18,1,1956,16,3,103750,27510,97,70,0
19,1,1962,12,1,42300,14250,97,103,0
20,0,1940,12,1,26250,11550,97,48,0
21,0,1963,16,1,38850,15000,97,17,0
22,1,1940,12,1,21750,12750,97,315,1
23,0,1965,15,1,24000,11100,97,75,1
24,0,1933,12,1,16950,9000,97,124,1
25,0,1942,15,1,21150,9000,97,171,1
26,1,1966,15,1,31050,12600,96,14,0
27,1,1954,19,3,60375,27480,96,96,0
28,1,1963,15,1,32550,14250,96,43,0
29,1,1944,19,3,135000,79980,96,199,0
30,1,1961,15,1,31200,14250,96,54,0
31,1,1964,12,1,36150,14250,96,83,0
32,1,1954,19,3,110625,45000,96,120,0
33,1,1961,15,1,42000,15000,96,68,0
34,1,1949,19,3,92000,39990,96,175,0
35,1,1961,17,3,81250,30000,96,18,0
36,0,1963,8,1,31350,11250,96,52,0
37,1,1954,12,1,29100,13500,96,113,1
38,1,1962,15,1,31350,15000,96,49,1
39,1,1960,16,1,36000,15000,96,46,1
40,0,1933,15,1,19200,9000,96,23,1
41,0,1961,12,1,23550,11550,96,52,1
42,1,1960,15,1,35100,16500,95,90,0
43,1,1964,12,1,23250,14250,95,46,0
44,1,1963,8,1,29250,14250,95,50,0
45,1,1938,12,2,30750,13500,95,307,0
46,0,1940,15,1,22350,12750,95,165,0
47,0,1938,12,1,30000,16500,95,228,0
48,1,1947,12,2,30750,14100,94,240,0
49,1,1958,15,1,34800,16500,94,93,0
50,1,1960,16,3,60000,23730,94,59,0
51,1,1962,12,1,35550,15000,94,48,0
52,1,1963,15,1,45150,15000,94,40,0
53,1,1954,18,3,73750,26250,94,56,0
54,1,1931,12,1,25050,13500,94,444,0
55,1,1960,12,1,27000,15000,94,120,0
56,1,1962,15,1,26850,13500,94,5,0
57,1,1963,15,1,33900,15750,94,78,0
58,0,1964,15,1,26400,13500,94,3,0
59,1,1961,15,1,28050,14250,94,36,1
60,1,1959,12,1,30900,15000,94,102,1
61,1,1964,8,1,22500,9750,94,36,1
62,1,1962,16,3,48000,21750,93,22,0
63,1,1961,17,3,55000,26250,93,32,0
64,1,1963,16,3,53125,21000,93,48,0
65,1,1964,8,1,21900,14550,93,41,0
66,1,1962,19,3,78125,30000,93,7,0
67,1,1964,16,3,46000,21240,93,35,0
68,1,1963,16,3,45250,21480,93,36,0
69,1,1960,16,3,56550,25000,93,34,0
70,1,1962,15,1,41100,20250,93,27,0
71,1,1948,17,3,82500,34980,93,207,0
72,0,1964,16,1,54000,18000,93,11,0
73,0,1968,12,1,26400,10500,93,0,0
74,0,1933,15,1,33900,19500,93,192,0
75,0,1965,15,1,24150,11550,93,0,0
76,0,1967,15,1,29250,11550,93,11,0
77,0,1968,12,1,27600,11400,93,6,0
78,0,1968,12,1,22950,10500,93,10,0
79,0,1962,16,1,34800,14550,93,8,0
80,0,1961,16,1,51000,18000,93,22,0
81,0,1968,12,1,24300,10950,93,5,0
82,0,1947,12,1,24750,14250,93,193,1
83,0,1967,12,1,22950,11250,93,0,1
84,0,1967,8,1,25050,10950,93,8,1
85,1,1962,15,1,25950,17100,92,42,0
86,1,1961,15,1,31650,15750,92,64,0
87,1,1959,12,1,24150,14100,92,130,0
88,1,1962,19,3,72500,28740,92,10,0
89,1,1961,19,3,68750,27480,92,8,0
90,0,1938,8,1,16200,9750,92,0,0
91,0,1967,12,1,20100,11250,92,24,0
92,0,1968,8,1,24000,10950,92,6,0
93,0,1968,12,1,25950,10950,92,0,0
94,0,1950,12,1,24600,10050,92,44,0
95,0,1968,12,1,28500,10500,92,6,0
96,1,1933,8,2,30750,15000,92,432,1
97,1,1953,17,1,40200,19500,92,168,1
98,1,1956,8,2,30000,15000,92,144,1
99,0,1968,12,1,22050,10950,92,5,1
100,1,1963,18,3,78250,27480,91,47,0
101,1,1960,16,3,60625,22500,91,44,0
102,1,1963,14,1,39900,15750,91,59,0
103,1,1959,19,3,97000,35010,91,68,0
104,1,1962,15,1,27450,15750,91,48,0
105,1,1966,15,1,31650,13500,91,18,0
106,1,1962,19,3,91250,29490,91,23,0
107,0,1960,12,1,25200,14400,91,83,0
108,0,1930,12,1,21000,11550,91,108,0
109,1,1963,12,1,30450,15000,91,49,1
110,1,1952,15,1,28350,18000,91,151,1
111,1,1940,12,2,30750,9000,91,314,1
112,1,1948,12,2,30750,15000,91,240,1
113,1,1959,16,3,54875,27480,90,68,0
114,1,1961,14,1,37800,16500,90,60,0
115,1,1961,15,1,33450,14100,90,85,0
116,1,1962,15,1,30300,16500,90,16,0
117,0,1932,12,1,31500,18750,90,205,0
118,0,1964,12,1,31650,14250,90,48,0
119,0,1963,12,1,25200,14100,90,55,0
120,0,1964,16,3,37800,15750,90,7,0
121,0,1936,15,1,18750,10500,90,54,0
122,0,1965,15,1,32550,13500,90,22,0
123,0,1949,12,1,33300,15000,90,3,0
124,0,1963,16,1,38550,16500,90,0,0
125,1,1956,12,1,27450,15000,90,173,1
126,1,1951,15,2,24300,15000,90,191,1
127,1,1950,12,2,30750,15000,90,209,1
128,0,1946,12,1,19650,9750,90,229,1
129,1,1959,17,3,68750,27510,89,38,0
130,1,1958,20,3,59375,30000,89,6,0
131,1,1962,15,1,31500,15750,89,22,0
132,1,1953,12,1,27300,17250,89,175,0
133,1,1959,15,1,27000,15750,89,87,0
